Statut,Lignes avec marqueurs + termes médicaux (texte original CLEAR EX),Lignes avec marqueurs + termes médicaux avec balises <t> (CLEAR EX),Terme médical,Marqueur,Indicateur,Reformulation
non,"Évaluer les effets du TH à long terme (au moins 1 an de recul) sur la mortalité, les paramètres cardiovasculaires, les cancers, les maladies de la vésicule biliaire, les fractures et les fonctions cognitives chez les femmes en périménopause ou en postménopause pendant et après l'arrêt du traitement.","Évaluer les effets du TH à <t>long<t> terme (au moins 1 an de recul) sur la mortalité, les paramètres cardiovasculaires, les cancers, les maladies de la vésicule <t>biliaire<t>, les <t>fractures<t> et les <t>fonctions<t> cognitives chez les femmes en périménopause ou en postménopause pendant et après l'arrêt du traitement.",,,maladie ; ou non<h>,
oui,"Pour les femmes ménopausées en relativement bonne santé (c'est-à-dire globalement en bonne condition physique, sans maladie manifeste), le TH combiné continu augmente le risque d'événements coronariens (après 1 an d'utilisation : de 2 pour 1000 à entre 3 et 7 pour 1000), de thromboembolie veineuse (après 1 an d'utilisation : de 2 pour 1000 à entre 4 et 11 pour 1000), d'accident vasculaire cérébral (après 3 ans d'utilisation : de 6 pour 1000 à entre 6 et 12 pour 1000), de cancer du sein (après 5,6 ans d'utilisation : de 19 pour 1000 à entre 20 et 30 pour 1000), de maladie vésiculaire (après 5,6 ans d'utilisation : de 27 pour 1000 à entre 38 et 60 pour 1000) et de décès par cancer du poumon (après 5,6 ans d'utilisation plus 2,4 ans de suivi supplémentaire : de 5 pour 1000 à entre 6 et 13 pour 1000).","Pour les femmes ménopausées en relativement bonne santé (c'est-à-dire globalement en bonne condition <t>physique<t>, sans <t>maladie<t> <t>manifeste<t>), le TH <t>combiné<t> <t>continu<t> augmente le risque d'événements coronariens (après 1 an d'utilisation : de 2 pour 1000 à <t>entre<t> 3 et 7 pour 1000), de <t>thromboembolie<t> veineuse (après 1 an d'utilisation : de 2 pour 1000 à <t>entre<t> 4 et 11 pour 1000), d'<t>accident<t> <t>vasculaire<t> <t>cérébral<t> (après 3 ans d'utilisation : de 6 pour 1000 à <t>entre<t> 6 et 12 pour 1000), de <t>cancer<t> du sein (après 5,6 ans d'utilisation : de 19 pour 1000 à <t>entre<t> 20 et 30 pour 1000), de <t>maladie<t> <t>vésiculaire<t> (après 5,6 ans d'utilisation : de 27 pour 1000 à <t>entre<t> 38 et 60 pour 1000) et de décès par <t>cancer<t> du poumon (après 5,6 ans d'utilisation plus 2,4 ans de suivi supplémentaire : de 5 pour 1000 à <t>entre<t> 6 et 13 pour 1000).",en relativement bonne santé,c'est-à-dire ; (),maladie,"globalement en bonne condition physique, sans maladie manifeste"
non,"Le TH avec des oestrogènes seuls a augmenté le risque de thromboembolie veineuse (après 1 à 2 ans d'utilisation : de 2 pour 1000 jusqu'à 2 à 10 pour 1000 ; après 7 ans d'utilisation: de 16 pour 1000 jusqu'à 16 à 28 pour 1000), d'accident vasculaire cérébral (après 7 ans d'utilisation : de 24 pour 1000 jusqu'à 25 à 40 pour 1000) et de maladie biliaire (après 7 ans d'utilisation : de 27 pour 1000 jusqu'à 38 à 60 pour 1000) mais a réduit le risque de cancer du sein (après 7 ans d'utilisation : de 25 pour 1000 jusqu'à 15 à 25 pour 1000) et de fracture clinique (après 7 ans d'utilisation : de 141 pour 1000 jusqu'à 92 à 113 pour 1000) et n'a pas augmenté le risque d'événements coronarien, quelle que soit la durée du suivi.","Le TH avec des oestrogènes seuls a <t>augmenté<t> le risque de <t>thromboembolie<t> veineuse (après 1 à 2 ans d'utilisation : de 2 pour 1000 jusqu'à 2 à 10 pour 1000 ; après 7 ans d'utilisation: de 16 pour 1000 jusqu'à 16 à 28 pour 1000), d'<t>accident<t> <t>vasculaire<t> <t>cérébral<t> (après 7 ans d'utilisation : de 24 pour 1000 jusqu'à 25 à 40 pour 1000) et de <t>maladie<t> <t>biliaire<t> (après 7 ans d'utilisation : de 27 pour 1000 jusqu'à 38 à 60 pour 1000) mais a <t>réduit<t> le risque de <t>cancer<t> du sein (après 7 ans d'utilisation : de 25 pour 1000 jusqu'à 15 à 25 pour 1000) et de <t>fracture<t> <t>clinique<t> (après 7 ans d'utilisation : de 141 pour 1000 jusqu'à 92 à 113 pour 1000) et n'a pas <t>augmenté<t> le risque d'événements coronarien, quelle que soit la durée du suivi.",,,maladie,
non,"Chez les femmes atteintes d'une maladie cardiovasculaire, l'utilisation du TH combiné continu a augmenté significativement le risque de thromboembolie veineuse (après 1 an d'utilisation : de 3 pour 1000 jusqu'à entre 3 et 29 pour 1000).","Chez les femmes atteintes d'une <t><t>maladie<t> cardiovasculaire<t>, l'utilisation du TH <t>combiné<t> <t>continu<t> a <t>augmenté<t> significativement le risque de <t>thromboembolie<t> veineuse (après 1 an d'utilisation : de 3 pour 1000 jusqu'à <t>entre<t> 3 et 29 pour 1000).",,,maladie,
non,"Le TH peut ne pas convenir à certaines femmes, notamment celles qui ont un risque accru de maladie cardiovasculaire, de maladie thromboembolique (par ex.","Le TH peut ne pas convenir à certaines femmes, notamment celles qui ont un risque accru de <t><t>maladie<t> cardiovasculaire<t>, de <t>maladie<t> <t>thromboembolique<t> (par ex.",,,maladie,
non,"Le TH n'est pas indiqué pour la prévention primaire ou secondaire des maladies cardiovasculaires ou de la démence, ni pour prévenir la détérioration des fonctions cognitives chez les femmes ménopausées.","Le TH n'est pas indiqué pour la prévention <t>primaire<t> ou <t>secondaire<t> des maladies cardiovasculaires ou de la <t>démence<t>, ni pour prévenir la détérioration des <t>fonctions<t> cognitives chez les femmes ménopausées.",,,maladie ; ou non<h>,
oui,L'hospitalisation à domicile suite à une sortie précoce de l'hôpital est un service qui fournit un traitement actif par des professionnels de santé au domicile d'un patient atteint d'une maladie qui autrement nécessiterait des soins aigus en milieu hospitalier.,L'<t>hospitalisation<t> à domicile suite à une <t>sortie<t> <t>précoce<t> de l'<t>hôpital<t> <mdef>est un<mdef> service qui fournit un traitement <t>actif<t> par des professionnels de santé au domicile d'un patient <t>atteint<t> d'une <t>maladie<t> qui autrement nécessiterait des soins aigus en <t>milieu<t> hospitalier.,L'hospitalisation à domicile suite à une sortie précoce de l'hôpital,est un/e,maladie ; service,un service qui fournit un traitement actif par des professionnels de santé au domicile d'un patient atteint d'une maladie qui autrement nécessiterait des soins aigus en milieu hospitalier.
non,"L'intervention augmente probablement le risque de réadmission à l'hôpital dans une combinaison d'affections médicales, bien que les résultats soient également compatibles avec l'absence de différence et une augmentation relativement grande du risque de réhospitalisation (RR 1,25, IC à 95  pour cent  0,98 à 1,58 ; N = 1276, 9 essais, niveau de certitude des preuves modéré).","L'intervention augmente probablement le risque de réadmission à l'<t>hôpital<t> dans une <t>combinaison<t> d'affections médicales, <t>bien<t> que les résultats soient également compatibles avec l'<t>absence de<t> différence et une augmentation relativement grande du risque de réhospitalisation (RR 1,25, IC à 95  pour cent  0,98 à 1,58 ; N = 1276, 9 essais, niveau de <t>certitude<t> des preuves <t>modéré<t>).",,,affection/s,
non,"L'effet de l'hospitalisation à domicile suite à une sortie précoce de l'hôpital sur la durée de séjour à l'hôpital pour les patients âgés présentant diverses affections variait d'une réduction de 20 jours à une réduction de moins de la moitié d'un jour (niveau de certitude des preuves modéré, N = 767).","L'<t>effet<t> de l'<t>hospitalisation<t> à domicile suite à une <t>sortie<t> <t>précoce<t> de l'<t>hôpital<t> sur la durée de séjour à l'<t>hôpital<t> pour les patients âgés présentant diverses affections variait d'une réduction de 20 jours à une réduction de moins de la moitié d'un jour (niveau de <t>certitude<t> des preuves <t>modéré<t>, N = 767).",,,affection/s,
non,"Dans une mise à jour récente de cette revue, des recherches ont été effectuées dans les bases de données suivantes : le registre spécialisé du groupe Cochrane sur les troubles menstruels et de la fertilité, MEDLINE (de 1966 à 2009), EMBASE (de 1980 à 2009), PsychInfo (de 1806 à 2009) et CENTRAL (2ème trimestre 2009).","Dans une mise à jour récente de cette revue, des recherches ont été effectuées dans les bases de données suivantes : le registre <t>spécialisé<t> du groupe Cochrane sur les troubles menstruels et de la <t>fertilité<t>, MEDLINE (de 1966 à 2009), EMBASE (de 1980 à 2009), PsychInfo (de 1806 à 2009) et CENTRAL (2ème trimestre 2009).",,,trouble/s,
non,"Compte-tenu de la morbidité et des taux de mortalité associés au cancer buccal, il est nécessaire de déterminer l'efficacité d'un programme de dépistage pour cette maladie, soit ciblé, soit opportuniste, ou comme mesure basée sur la population.","Compte-tenu de la morbidité et des taux de mortalité associés au <t>cancer<t> <t>buccal<t>, il est nécessaire de déterminer l'<t>efficacité<t> d'un programme de dépistage pour cette <t>maladie<t>, soit ciblé, soit opportuniste, ou comme mesure basée sur la population.",,,maladie ; ou non<h>,
oui,"Essais contrôlés randomisés (ECR) sur le dépistage du cancer buccal ou des troubles potentiellement malins à l'aide d'un examen visuel, du bleu de toluidine, de l'imagerie fluorescence ou de la biopsie par brossage.","Essais contrôlés randomisés (ECR) sur le dépistage du <t>cancer<t> <t>buccal<t> ou des troubles potentiellement malins à l'aide d'un examen <t>visuel<t>, du <t>bleu<t> de <t>toluidine<t>, de l'imagerie fluorescence ou de la <t>biopsie<t> par brossage.",Essais contrôlés randomisés,(),trouble/s,ECR
oui,Traitement de la spasticité dans le cas d'une sclérose latérale amyotrophique/maladie du motoneurone.,Traitement de la spasticité dans le cas d'une <t>sclérose<t> latérale amyotrophique/<t>maladie<t> du motoneurone.,sclérose latérale amyotrophique,/,maladie,maladie du motoneurone
non,La spasticité touche généralement des patients atteints de la maladie du neuromoteur.,La spasticité touche généralement des patients atteints de la <t>maladie<t> du neuromoteur.,,,maladie,
non,"Elle est susceptible de contribuer à une aggravation des troubles musculaires et des difficultés liées aux activités de la vie quotidienne, ainsi qu'à une détérioration de la qualité de vie.","Elle est <t>susceptible<t> de contribuer à une <t>aggravation<t> des troubles musculaires et des difficultés liées aux activités de la vie quotidienne, ainsi qu'à une détérioration de la qualité de vie.",,,trouble/s,
oui,"L'objectif de cette revue est d'évaluer de façon systématique les traitements de la spasticité dans le cas d'une sclérose latérale amyotrophique, aussi appelée "" maladie du motoneurone "".","L'objectif de cette revue est d'évaluer de façon systématique les traitements de la spasticité dans le cas d'une <t>sclérose<t> latérale amyotrophique, aussi appelée "" <t>maladie<t> du motoneurone "".",sclérose latérale amyotrophique,aussi appelée,maladie,maladie du motoneurone
non,"Nous avons effectué des recherches dans le registre spécialisé du groupe Cochrane sur les affections neuro-musculaires (4 juillet 2011), CENTRAL (2011, numéro 2), MEDLINE (de janvier 1966 à juillet 2011), EMBASE (de janvier 1980 à juillet 2011), CINAHL Plus (de janvier 1937 à juillet 2011), AMED (de janvier 1985 à juillet 2011) et LILACS (de janvier 1982 à juillet 2011).","Nous avons effectué des recherches dans le registre <t>spécialisé<t> du groupe Cochrane sur les <t>affections neuro-musculaires<t> (4 juillet 2011), CENTRAL (2011, numéro 2), MEDLINE (de janvier 1966 à juillet 2011), EMBASE (de janvier 1980 à juillet 2011), CINAHL Plus (de janvier 1937 à juillet 2011), AMED (de janvier 1985 à juillet 2011) et LILACS (de janvier 1982 à juillet 2011).",,,affection/s,
non,Nous avons inclus des essais contrôlés randomisés ou quasi-randomisés composés de participants atteints d'une sclérose latérale amyotrophique probable ou définie conformément aux critères diagnostiques d'El Escorial (ou une version révisée) ou à la révision d'Airlie House.,Nous avons <t>inclus<t> des essais contrôlés randomisés ou quasi-randomisés composés de participants atteints d'une <t>sclérose<t> latérale amyotrophique probable ou définie conformément aux critères diagnostiques d'El Escorial (ou une <t>version<t> révisée) ou à la révision d'Airlie House.,,,défini/e ; ou non<h>,
oui,Traitement des crampes dans le cas d'une sclérose latérale amyotrophique/maladie du motoneurone.,Traitement des crampes dans le cas d'une <t>sclérose<t> latérale amyotrophique/<t>maladie<t> du motoneurone.,sclérose latérale amyotrophique,/,maladie,maladie du motoneurone
oui,Elles touchent fréquemment des personnes atteintes de sclérose latérale amyotrophique/maladie du motoneurone (SLA) à tous les stades de la maladie.,Elles touchent fréquemment des personnes atteintes de <t>sclérose<t> latérale amyotrophique/<t>maladie<t> du motoneurone (SLA) à tous les stades de la <t>maladie<t>.,sclérose latérale amyotrophique,/,maladie,maladie du motoneurone (SLA)
oui,"Nous avons effectué une recherche dans le registre spécialisé du groupe Cochrane sur les affections neuro-musculaires (14.02.2011), le registre Cochrane des essais contrôlés (CENTRAL) (numéro 1, 2011 dans The Cochrane Library), MEDLINE (de janvier 1966 à janvier 2011) et EMBASE (de janvier 1980 à janvier 2011) et les listes bibliographiques des articles consultés en utilisant les termes maladie du motoneurone, maladie des motoneurones, maladie des neurones moteurs ou sclérose latérale amyotrophique.","Nous avons effectué une recherche dans le registre <t>spécialisé<t> du groupe Cochrane sur les <t>affections neuro-musculaires<t> (14.02.2011), le registre Cochrane des essais contrôlés (CENTRAL) (numéro 1, 2011 dans The Cochrane Library), MEDLINE (de janvier 1966 à janvier 2011) et EMBASE (de janvier 1980 à janvier 2011) et les listes bibliographiques des articles consultés en utilisant les termes <t>maladie<t> du motoneurone, <t>maladie<t> des motoneurones, <t>maladie<t> des neurones moteurs ou <t>sclérose<t> latérale amyotrophique.",maladie du motoneurone,,maladie ; affection non<h> ; ou,"maladie des motoneurones, maladie des neurones moteurs ou sclérose latérale amyotrophique"
non,"Le 29 septembre 2015, nous avons effectué des recherches dans le registre spécialisé du groupe Cochrane sur les affections neuromusculaires, le registre Cochrane des essais contrôlés (CENTRAL), MEDLINE, EMBASE, CINAHL Plus, AMED, LILACS et PsycINFO.","Le 29 septembre 2015, nous avons effectué des recherches dans le registre <t>spécialisé<t> du groupe Cochrane sur les affections neuromusculaires, le registre Cochrane des essais contrôlés (CENTRAL), MEDLINE, EMBASE, CINAHL Plus, AMED, LILACS et PsycINFO.",,,affection/s,
non,Les différences entre les traitements pour les critères de jugement secondaires (changement dans la capacité fonctionnelle auto-déclarée mesurée à moins de trois mois ; changement des symptômes du SCC ; changement dans les mesures de l'incapacité liée au SCC ; présence de troubles iatrogènes liés à l'opération chirurgicale ; retour au travail ou aux activités habituelles ; et changement des paramètres neuropsychologiques) étaient généralement de petite taille et n'étaient pas statistiquement significatives.,Les différences <t>entre<t> les traitements pour les critères de <t>jugement<t> secondaires (changement dans la capacité fonctionnelle auto-déclarée mesurée à moins de trois mois ; changement des symptômes du SCC ; changement dans les mesures de l'<t>incapacité<t> liée au SCC ; <t>présence de<t> troubles iatrogènes liés à l'<t>opération<t> chirurgicale ; retour au <t>travail<t> ou aux activités habituelles ; et changement des paramètres neuropsychologiques) étaient généralement de petite <t>taille<t> et n'étaient pas statistiquement significatives.,,,trouble/s ; ou non<h>,
non,"Il est important que les chercheurs identifient les patients qui répondent à un traitement particulier et ceux qui n'y répondent pas et réalisent des études de qualité élevée évaluant la gravité des troubles iatrogènes liés à l'opération chirurgicale, mesurant la fonction et le taux de retour au travail et tenant compte des variables de confusion.","Il est important que les chercheurs identifient les patients qui répondent à un traitement particulier et ceux qui n'y répondent pas et réalisent des études de qualité élevée évaluant la <t>gravité<t> des troubles iatrogènes liés à l'<t>opération<t> chirurgicale, mesurant la fonction et le taux de retour au <t>travail<t> et tenant compte des variables de <t>confusion<t>.",,,trouble/s,
non,"Nous avons recherché des études contrôlées randomisées dans le registre spécialisé du groupe Cochrane sur les affections neuro-musculaires (1er octobre 2012), CENTRAL (2012, numéro 9 dans The Cochrane Library), MEDLINE (de janvier 1966 à octobre 2012), EMBASE (de janvier 1980 à octobre 2012) et CINAHL Plus (de janvier 1937 à octobre 2012).","Nous avons recherché des études contrôlées randomisées dans le registre <t>spécialisé<t> du groupe Cochrane sur les <t>affections neuro-musculaires<t> (1er octobre 2012), CENTRAL (2012, numéro 9 dans The Cochrane Library), MEDLINE (de janvier 1966 à octobre 2012), EMBASE (de janvier 1980 à octobre 2012) et CINAHL Plus (de janvier 1937 à octobre 2012).",,,affection/s,
oui,Examiner l'utilisation de l'hypnose chez les patients atteints de schizophrénie ou de troubles schizophréniformes par rapport aux soins standard et à d'autres interventions.,Examiner l'utilisation de l'<t>hypnose<t> chez les patients atteints de <t>schizophrénie<t> ou de troubles schizophréniformes par rapport aux soins standard et à d'autres interventions.,schizophrénie,,trouble/s ; ou,de troubles schizophréniformes
non,"Les scores de l'état mental n'étaient pas affectés (n = 60, 1 ECR, DM BPRS à une semaine de -3,6, IC entre -12,05 et 4,8), non plus que les mesures des troubles du mouvement et de la fonction neurocognitive.","Les scores de l'<t>état mental<t> n'étaient pas affectés (n = 60, 1 ECR, DM BPRS à une semaine de -3,6, IC <t>entre<t> -12,05 et 4,8), non plus que les mesures des troubles du <t>mouvement<t> et de la fonction neurocognitive.",,,trouble/s,
non,"Par rapport à la relaxation, l'hypnose était également acceptable (n = 106, 3 ECR, RR d'arrêt prématuré de 2,00, IC entre 0,2 et 2,15) et n'avait aucun effet notable sur l'état mental (n = 60, 1 ECR, DM BPRS à une semaine de -3,4, IC entre -11,4 et 4,6), les troubles du mouvement ou la fonction neurocognitive.","Par rapport à la relaxation, l'<t>hypnose<t> était également acceptable (n = 106, 3 ECR, RR d'arrêt <t>prématuré<t> de 2,00, IC <t>entre<t> 0,2 et 2,15) et n'avait aucun <t>effet<t> notable sur l'<t>état mental<t> (n = 60, 1 ECR, DM BPRS à une semaine de -3,4, IC <t>entre<t> -11,4 et 4,6), les troubles du <t>mouvement<t> ou la fonction neurocognitive.",,,trouble/s ; ou non<h>,
non,"Des enfants plus jeunes et des enfants souffrant d'une forme plus bénigne de la maladie peuvent avoir été inclus dans ces essais de traitement, au lieu d'enfants traités dans des milieux pragmatiques.","Des enfants plus jeunes et des enfants souffrant d'une forme plus bénigne de la <t>maladie<t> peuvent avoir été <t>inclus<t> dans ces essais de traitement, au lieu d'enfants traités dans des milieux pragmatiques.",,,maladie,
oui,L'hématome aigu du pavillon est une affection qui se caractérise par la formation d'une collection sanguine sous le périchondre du pavillon.,L'<t>hématome<t> <t>aigu<t> du pavillon <mdef>est une<mdef> <t>affection<t> qui se caractérise par la formation d'une collection sanguine sous le <t>périchondre<t> du pavillon.,L'hématome aigu du pavillon,est un/e,affection/s,une affection qui se caractérise par la formation d'une collection sanguine sous le périchondre du pavillon.
non,Il n'existe aucun meilleur traitement clairement défini pour l'hématome aigu de l'oreille.,Il n'existe aucun meilleur traitement clairement défini pour l'<t>hématome<t> <t>aigu<t> de l'oreille.,,,défini/e,
oui,"Pour cette mise à jour, le Spécialiste Cochrane des informations sur les maladies vasculaires (CIS) a effectué des recherches dans le registre spécialisé du Groupe Cochrane sur les maladies vasculaires (20 mars 2017) et CENTRAL (2017, numéro 2).","Pour cette mise à jour, le Spécialiste Cochrane des informations sur les <t>maladies vasculaires<t> (CIS) a effectué des recherches dans le registre <t>spécialisé<t> du Groupe Cochrane sur les <t>maladies vasculaires<t> (20 mars 2017) et CENTRAL (2017, numéro 2).",le Spécialiste Cochrane des informations sur les maladies vasculaires ,(),maladie/s,CIS
non,Salicylate pour le traitement de la maladie de Kawasaki chez les enfants.,Salicylate pour le traitement de la <t>maladie<t> de Kawasaki chez les enfants.,,,maladie,
oui,La maladie de Kawasaki est la cause la plus fréquente de maladie cardiaque acquise chez les enfants dans les pays développés.,La <t>maladie<t> de Kawasaki est la cause la plus fréquente de <t>maladie<t> <t>cardiaque<t> acquise chez les enfants dans les pays développés.,La maladie de Kawasaki,est la cause,maladie,la cause la plus fréquente de maladie cardiaque acquise chez les enfants dans les pays développés.
non,Les artères coronaires alimentant le coeur peuvent être endommagées dans la maladie de Kawasaki.,Les <t>artères coronaires<t> alimentant le <t>coeur<t> peuvent être endommagées dans la <t>maladie<t> de Kawasaki.,,,maladie,
non,L'objectif de cette revue était d'évaluer l'efficacité du salicylate dans le traitement et la prévention des conséquences cardiaques de la maladie de Kawasaki chez les enfants.,L'objectif de cette revue était d'évaluer l'<t>efficacité<t> du <t>salicylate<t> dans le traitement et la prévention des conséquences cardiaques de la <t>maladie<t> de Kawasaki chez les enfants.,,,maladie,
non,"Pour cette mise à jour, le groupe Cochrane sur les maladies vasculaires périphériques a effectué une recherche dans son propre registre spécialisé (dernière recherche en janvier 2009) et dans le registre Cochrane des essais contrôlés (CENTRAL) (dernière recherche dans le Numéro 1, 2009).","Pour cette mise à jour, le groupe Cochrane sur les <t>maladies vasculaires<t> périphériques a effectué une recherche dans son propre registre <t>spécialisé<t> (dernière recherche en janvier 2009) et dans le registre Cochrane des essais contrôlés (CENTRAL) (dernière recherche dans le Numéro 1, 2009).",,,maladie,
oui,Les essais contrôlés randomisés (ECR) portant sur le salicylate pour traiter la maladie de Kawasaki chez les enfants étaient éligibles pour inclusion.,Les essais contrôlés randomisés (ECR) portant sur le <t>salicylate<t> pour traiter la <t>maladie<t> de Kawasaki chez les enfants étaient éligibles pour inclusion.,Les essais contrôlés randomisés,(),maladie/s,ECR
non,"Tant que des ECR de bonne qualité ne sont pas réalisés, les preuves sont insuffisantes pour indiquer si les enfants souffrant de la maladie de Kawasaki doivent continuer à recevoir du salicylate dans le cadre de leur traitement.","Tant que des ECR de bonne qualité ne sont pas réalisés, les preuves sont insuffisantes pour indiquer si les enfants souffrant de la <t>maladie<t> de Kawasaki doivent continuer à recevoir du <t>salicylate<t> dans le cadre de leur traitement.",,,maladie,
non,"Le coordinateur de recherche d'études (TSC) du groupe Cochrane sur les maladies vasculaires périphériques a effectué des recherches dans le registre spécialisé (janvier 2013) et le registre Cochrane des essais contrôlés (CENTRAL) (2012, numéro 12).","Le coordinateur de recherche d'études (TSC) du groupe Cochrane sur les <t>maladies vasculaires<t> périphériques a effectué des recherches dans le registre <t>spécialisé<t> (janvier 2013) et le registre Cochrane des essais contrôlés (CENTRAL) (2012, numéro 12).",,,maladie,
oui,Nous avons inclus tous les essais cliniques randomisés d'une durée supérieure à un mois portant sur des patients présentant un double diagnostic de schizophrénie et de difficulté d'apprentissage (définie comme un QI inférieur ou égal à 70) et évaluant un traitement antipsychotique par rapport à un placebo.,Nous avons <t>inclus<t> tous les essais cliniques randomisés d'une durée supérieure à un mois portant sur des patients présentant un <t>double<t> diagnostic de <t>schizophrénie<t> et de difficulté d'<t>apprentissage<t> (définie comme un QI <t>inférieur<t> ou <t>égal<t> à 70) et évaluant un traitement antipsychotique par rapport à un placebo.,difficulté d'apprentissage,,défini/e ; () ; définie comme ; ou non<h>,un QI inférieur ou égal à 70
non,Les services d'assistance téléphonique réservés à une maladie spécifique ont été exclus.,Les services d'assistance téléphonique réservés à une <t>maladie<t> <t>spécifique<t> ont été <t>exclus<t>.,,,maladie,
oui,Évaluer les effets de la fluoxétine par rapport à tous les autres agents antidépresseurs sur la dépression chez l'adulte souffrant de troubles dépressifs majeurs unipolaires.,Évaluer les effets de la <t>fluoxétine<t> par rapport à tous les autres agents <t>antidépresseurs<t> sur la <t>dépression<t> chez l'<t>adulte<t> souffrant de <t>troubles dépressifs<t> majeurs unipolaires.,la dépression,,trouble/s,troubles dépressifs majeurs unipolaires
oui,"Tous les ECR comparant la fluoxétine à tout autre antidépresseur (notamment des agents non conventionnels, comme l'hypéricum) chez des patients souffrant de troubles dépressifs majeurs unipolaires (quels que soient les critères de diagnostic utilisés) ont été inclus.","Tous les ECR comparant la <t>fluoxétine<t> à tout autre <t>antidépresseur<t> (notamment des agents non conventionnels, comme l'hypéricum) chez des patients souffrant de <t>troubles dépressifs<t> majeurs unipolaires (quels que soient les critères de diagnostic utilisés) ont été <t>inclus<t>.",la fluoxétine,,trouble/s non<h> ; tout autre,antidépresseur
non,"Les personnes atteintes de SEP utilisent beaucoup de régimes et de suppléments alimentaires, pensant qu'ils sont susceptibles d'atténuer les effets de la maladie et de surmonter les limites d'efficacité des traitements conventionnels.","Les personnes atteintes de SEP utilisent beaucoup de <t>régimes<t> et de suppléments alimentaires, pensant qu'ils sont susceptibles d'atténuer les effets de la <t>maladie<t> et de surmonter les limites d'<t>efficacité<t> des traitements conventionnels.",,,maladie,
oui,"Nous avons effectué une recherche dans le registre spécialisé du groupe Cochrane sur la sclérose en plaques et les maladies rares du système nerveux central (novembre 2011), ainsi que dans CENTRAL (The Cochrane Library 2011, numéro 4), MEDLINE (PubMed) (de 1966 à novembre 2011), EMBASE (embase.com) (de 1974 à novembre 2011) et les bibliographies des articles trouvés.","Nous avons effectué une recherche dans le registre <t>spécialisé<t> du groupe Cochrane sur la <t><t>sclérose<t> <t>en plaques<t><t> et les maladies rares du système nerveux <t>central<t> (novembre 2011), ainsi que dans CENTRAL (The Cochrane Library 2011, numéro 4), MEDLINE (PubMed) (de 1966 à novembre 2011), EMBASE (embase.com) (de 1974 à novembre 2011) et les bibliographies des articles trouvés.",la sclérose en plaques,,maladie ; et les,les maladies rares du système nerveux central
non,"Au bout de 24 mois, les AGPI n'avaient pas eu d'effet significatif sur la progression de la maladie.","Au bout de 24 mois, les AGPI n'avaient pas eu d'<t>effet<t> significatif sur la progression de la <t>maladie<t>.",,,maladie,
non,"Les AGPI ne semblent pas avoir d'effet important sur le principal critère de résultat clinique pour la SEP (la progression de la maladie), mais il se pourrait qu'ils tendent à réduire la fréquence des rechutes au-delà de deux ans.","Les AGPI ne semblent pas avoir d'<t>effet<t> important sur le <t>principal<t> critère de résultat <t>clinique<t> pour la SEP (la progression de la <t>maladie<t>), mais il se pourrait qu'ils tendent à réduire la fréquence des rechutes au-delà de deux ans.",,,maladie,
non,"Pour les besoins de cette revue, nous avons défini "" à court terme "" comme étant une cathétérisation prévue pour une durée de 14 jours ou moins.","Pour les besoins de cette revue, nous avons défini "" à <t>court<t> terme "" comme étant une <t>cathétérisation<t> prévue pour une durée de 14 jours ou moins.",,,défini/e ; ou non<h>,
non,Nous avons exclu les études portant sur des patients atteints de maladie pulmonaire chronique obstructive.,Nous avons exclu les études portant sur des patients atteints de <t>maladie<t> <t>pulmonaire<t> <t>chronique<t> obstructive.,,,maladie,
oui,La prière est l'une des interventions les plus anciennes et les plus utilisées pour tenter de soulager la maladie et de promouvoir une bonne santé.,La prière est l'une des interventions les plus anciennes et les plus utilisées pour tenter de soulager la <t>maladie<t> et de promouvoir une bonne santé.,La prière,est l'une des interventions,maladie non<h>,une des interventions les plus anciennes et les plus utilisées pour tenter de soulager la maladie et de promouvoir une bonne santé.
non,"Compte tenu de l'importance de cette réponse à la maladie chez un pourcentage élevé de la population mondiale, la mesure rigoureuse et scientifique de l'efficacité de la prière d'intercession pour soulager les problèmes de santé a fait l'objet d'un intérêt considérable.","Compte tenu de l'importance de cette réponse à la <t>maladie<t> chez un pourcentage <t>élevé<t> de la population mondiale, la mesure rigoureuse et scientifique de l'<t>efficacité<t> de la prière d'intercession pour soulager les problèmes de santé a fait l'objet d'un intérêt considérable.",,,maladie,
oui,"La toux sans autre manifestation clinique est connue sous le nom de toux non spécifique, une toux non productive sans maladie respiratoire identifiable ou autre étiologie connue.","La <t>toux<t> sans autre manifestation <t>clinique<t> est connue sous le nom de <t>toux<t> non <t>spécifique<t>, une <t>toux<t> non productive sans <t>maladie<t> <t>respiratoire<t> <t>identifiable<t> ou autre étiologie connue.",La toux sans autre manifestation clinique,,maladie ; connue sous le nom de,toux non spécifique
